urd-wl-83-174268-11364090-post1__3	میری نظر میں تو یہ ان کا شرعی حق ہے آپ کیا کہتے ہیں؟	In my opinion, this is religious right, what do you say?	In my point of view, it is their religious right, what do you say?	I believe this is his legitimate right. What do you say?	In my opinion they have the right? what would be ur opinion?	-29.9794	-35.745	-31.4313	-71.4188	-28.4531	-32.8619	-30.5093	-70.3788
urd-wl-86-174276-11370247-post1__2	وردی اتروانے اور جمہوریت کی بحالی میں کسی سیاسی جماعت کو کریڈٹ نہیں جانا چاہئے، پارلیمنٹ ربر اسٹمپ نہیں ہے،	Removing the uniform and there public support.	The credit for removing the uniform and replacing the democracy should not go to any political party. The Parliament is not a rubber stamp.	No political party can get the credit of uniform shedding and the restoration of democracy. Parliament is not a rubber stamp.	No political party shoud get credit of his giving up of uniform and restoration of the democracy , Parliment is not a mere rubber stamp	-21.6834	-64.361	-62.4947	-146.442	-22.4916	-63.2652	-58.1161	-146.351
urd-wl-86-174276-11370247-post1__3	تمام فیصلے پارلیمنٹ میں کئے جائیں گے۔	All issues will be told in the parliment.	All decisions will be made in the parliament.	All decisions will be made in Parliament.	All decisions will be taken in the parliment	-56.5064	-15.8727	-13.9031	-54.2594	-57.3463	-16.2525	-14.2556	-54.4108
urd-wl-86-174276-11370247-post1__4	وزیر اعظم کا کہنا تھا کہ ڈاکٹر قدیر کا باب بند ہوچکا ہے۔	Dr.Qadir has become famous with help of the prime minster.	The Prime Minister said that Qadeer's door was closed.	PM said that Dr. Qadir's chapter had closed.	Prime minister said that the chapter of Doctor Qadeer has been closed	-105.917	-58.834	-72.452	-67.8435	-106.889	-59.217	-72.6784	-68.8838
urd-wl-86-174276-11370247-post1__5	آپ کے خیال میںآ مریت کیخلاف عوامی احتجاج کی کوئی اہمیت نہیں تھی؟	Is there any hope in your sense against Maryeth is any public support.	In your opinion, do the public protests against Mina Marriot not mean anything?	If public protest against dictatorship has no significance to you?.	What do you think, the peoples protest against dictatorship has no value at all?	-75.0437	-112.935	-67.7709	-38.5604	-72.1484	-113.246	-68.5575	-37.113
urd-wl-86-174276-11370247-post1__6	کیا وکلا تحریک نے کوئی کردار ادا نہیں کیا؟	Did the lawyer play any role in this case?	Has the lawyers movement not played any role?	If lawyers movement did not play any role?	Has the lawyers protest played no role?	-27.0638	-30.1495	-28.2244	-28.7561	-22.6966	-27.9949	-26.2825	-28.3627
urd-wl-86-174276-11370247-post1__7	وزیر اعظم کے اس بیان پر آپ کیا کہنا چاہیں گے۔	What do you have to say about this statement of the Prime Minister?	What you want say about the words of the Prime minister	what will you going to do at Prime Minister's statement	What are your views about this statement of the Prime Minister	-24.9043	-24.4749	-23.8163	-25.0767	-24.1936	-24.7421	-22.134	-23.1998
urd-wl-86-174276-11370247-post1__8	اپنی رائے سے آگاہ کریں۔	Make us aware about your opinion.	Please give us your opinion	please give us your opinion	Do enlighten us with your views	-20.1218	-13.944	-13.944	-17.3121	-19.5234	-12.1283	-12.1283	-18.9864
urd-wl-86-174276-11370248-post1__1	امریکی صدر جارج ڈبلیو بش نے اپنی الوداعی پریس کانفرنس میں نومنتخب صدر بارک اوباما کو نصیحت دیتے ہوئے کہا ہے کہ انہوں نے اپنے عہدہ صدارت میں بہت سی غلطیاں کی ہیں اور بارک اوباما کو جو ٹھیک لگے وہ کرڈالے،	American President, George W. Bush, in his outgoing press conference advised newly elected President Barack Obama saying that he had made many mistakes in his presidency, and that Barack Obama should do whatever he feels is appropriate.	The President of America George W Bush on his Veladitary fuction said to Barack Obama that He in his position has did many mistakes, if obama wants to correct it, he can	American President George W Bush in his last Press conference advises newly elected President that he did many mistakes in his tenure and Barack Obama should do what he think is right	U.S. President George W. Bush in his farewell press conference advised the newly elected President Barak Obama by saying that he has done many mistakes in his presidency and if Barak Obama finds something right,just do it.	-249.75	-287.257	-175.408	-221.353	-247.272	-289.483	-174.692	-220.426
urd-wl-86-174276-11370248-post1__2	میں نے بطور صدر حالات کے مطابق اور امریکی آئین اور قانون کے تحت اقدامات کئے، امریکی مفادات کو اپنی مقبولیت پر ترجیح دی	'I did, as a president, whatever I felt was appropriate, according to the situation, and the American law and constitution, giving preference to American interest over my own acceptance'.	As a president, and based on the situation, and Rules and regulation of america, i have taken steps, i work only for the benefit of America.	I as the President and according with the constitution of USA and law i did the developments, i put forward American interest on my own popularity.	As the President I have taken steps according to the situation and the Constitution and under the law, given priority to the American interests on my popularity.	-127.305	-64.1726	-76.227	-61.7532	-128.594	-64.6826	-78.2993	-61.8145
urd-wl-86-174276-11370248-post1__3	، انہوں نے کہا امریکا کے دشمن آج بھی امریکا پر حملے کی منصوبہ بندی کررہے ہیں، بارک اوباما کیلئے ان حملوں کو روکنا سب سے بڑا چیلنج ہوگا،	He said that the enemies of America are still planning to attack America, and that the biggest challenge for Barack Obama would be to stop those attacks.	He said, the enemies of america, today also planning to attack on america. to stop this things is the biggest challenge for the barack obama	he said that America's Enemy are still planning to attack America. the biggest challenge for Barack Obama is to prevent from these attacks	He said that the US enemy is still planning to attack the America , and the biggest challenge for Barak Obama would have been to stop the attacks.	-139.104	-142.089	-142.529	-109.272	-140.045	-141.606	-142.893	-109.384
urd-wl-86-174276-11370248-post1__4	انہوں نے کہا کہ عراق سے وسیع پیمانے پر تباہی پھیلانے والے ہتھیاروں کا نہ ملنا میری لئے سب سے بڑی مایوسی ہے اور عراق میں مشن مکمل ہونے کا اعتراف کرنا میری سب سے بڑی غلطی تھی۔	He said that not being able to find weapons of mass destructions in Iraq was the biggest disappointment for him, and considering the Iraq mission to be complete was his biggest mistake.	he said that. he unable to found the weapon for the destroy of iraq in large scale, and i felt that i won the battle in iraq, that was my biggest mistake	he said that , unable to find the weapon of mass destruction from Iraq was his major dissapointment and to announce the mission completed in Iraq was his big mistake.	He said that not to get the Mass destruction weapons, was my largest disappointment and the biggest mistake was to admit the completion of the Iraq mission.	-118.813	-93.436	-116.379	-72.0977	-118.695	-92.767	-112.104	-74.1277
urd-wl-86-174276-11370248-post1__5	وائٹ ہاؤس میں اپنی آخری پریس کانفرنس سے خطاب کرتے ہوئے امریکی صدر نے کہا کہ یہ میری آخری پریس کانفرنس ہے اور اس کانفرنس میں شریک صحافیوں اور دیگر احباب کا شکریہ ادا کرتا ہوں جنہوں نے اس میں شرکت کی۔	Speaking at his last press conference at the White House, the American President said that this is my last press conference, and I thank the journalists and other friends who are present in the press conference.	In the last conference at white house, he said that this is my last press conference, and i thank to all those who have attended	In last press conference from white house American president has said that this is my last press conference i thank u all news reporter and my colleague who attended this conference	While addressing the American Pesident in the White House in his last press conference has said that it is my last press conference I thank to journalists and other friends who attended this Conference .	-80.1654	-58.9304	-95.4293	-125.474	-79.4502	-55.7446	-95.913	-125.161
urd-wl-86-174276-11370248-post1__6	کیا آپ سمجھتے ہیں کہ اوباما وہ غلطیاں نہیں دہرائیں گے جو بش نے کیں؟	Do you think Obama will not repeat the mistakes that Bush made?	Do you think Obama will repeat the same mistakes which Bush did?	do you think Obama will not do that mistake which bush did?	Do you think that Obama will not repeat those mistakes which were done by Bush?	-72.1133	-76.2552	-77.2277	-78.7843	-65.2804	-72.9356	-74.0205	-76.3318
urd-wl-86-174276-11370248-post1__7	کیابش نے غلطیوں کا اعتراف کرنے میں تاخیر نہیں کردی؟	Did Bush delay accepting his mistake?	Do Bush did late to accept the mistakes he did?	don't you think bush was late in accepting his mistakes?	Has it been delayed by Bush to acknowledge the mistake?	-28.5292	-39.6846	-39.0458	-32.0626	-29.0681	-41.3617	-39.3788	-27.5632
urd-wl-86-174276-11370248-post1__8	اوباما بش کی نصیحت پر عمل پیرا ہوسکیں گے؟	Will Obama be able to follow Bush's advice?	Does Obama will work on the opinion of Bush?	will Obama be able to follow the advice of Bush?	Shall Obama follow the advice of Bush conciliatory?	-65.2256	-63.3764	-65.1337	-103.449	-65.5648	-65.1499	-62.8567	-101.283
urd-wl-86-174276-11370248-post1__9	اپنی رائے سے آگاہ کریں۔	let us know your Suggestion.	Aware me about your openion.	Inform us of your opinion.	Give us your opinion.	-11.6136	-56.7352	-15.4803	-11.65	-10.8478	-57.1822	-12.9854	-9.808
urd-wl-86-174276-11370250-post1__1	نائب امریکی صدر ڈک چینی کا کہنا ہے کہ میں اسامہ بن لادن کو زندہ یا مردہ دیکھنا چاہتا ہوں۔	vice president of America Dick Cheney said that he want to see Usama Bin Laden Either Alive or Die.	The step president of America said that he wants to see Usama live or dead.	The American Vice President Dick Cheney says I want to see Usama Bin Laden alive or dead.	Vice President Dick Cheney wants to see Osama bin Laden live or dead.	-135.496	-78.0751	-132.497	-80.9501	-135.84	-77.9036	-131.779	-80.7413
urd-wl-86-174276-11370250-post1__2	ان کا کہنا ہے کہ اسامہ بن لادن کسی دشوار گزار علاقے میں چھپا ہوا ہے اور وہ اپنی تنظیم کے لئے غیر موثر ہوچکا ہے، اگر اسامہ بن لادن زندہ یا مردہ گرفتار بھی ہوجائے تو اس کی اس کی اس تنظیم کو ختم کرنا ہوگا۔	he said that Usama Bin Ladin Hide-in his self in some mountain area , and he becomes inactive for his organization, if Usama Bin Ladin arrested either Alive or dead so his have to finished his organization	He said that Usama bin Ladan is in a difficult place and he became unuseful and if he will arrested live or dead but his organisation should be killed.	He says that Usama Bin Laden is hiding in some hard to reach area and is of no use to his organization, if Usama Bin Laden is arrested alive or dead then his organization must be destroyed.	Dick chenney said that Osama bin Laden is living in a a hard and tough area unopened and for their ineffective Organization has been, if Osama bin Laden is alive or also dead arrest him and end this Organization.	-260.033	-195.574	-186.272	-228.8	-262.021	-197.241	-182.59	-229.43
